Figure 4 c,time_CH1,G_CH1,time_CH2,G_CH2,time_CH1 to CH2,G_CH1 to CH2,time_CH2 to CH1,G_CH2 to CH1,,,Figure 4 f,time_CH1,G_CH1,time_CH2,G_CH2,time_CH1 to CH2,G_CH1 to CH2,time_CH2 to CH1,G_CH2 to CH1
Figure 4 c,0.020280916942901742,0.9611717659531893,0.020280916942901742,0.9502339650005233,0.027349139,-0.242841258,0.027349139,-1.025487063,,,Figure 4 f,0.020280916942901742,0.9611717659531893,0.020280916942901742,0.9502339650005233,0.027349139,-0.242841258,0.027349139,-1.025487063
Figure 4 c,0.021193636,0.9505280806111284,0.021193636,0.9372820574118775,0.028657748046805362,-0.253212944,0.028657748046805362,-1.076030366,,,Figure 4 f,0.021193636,0.9505280806111284,0.021193636,0.9372820574118775,0.028657748046805362,-0.253212944,0.028657748046805362,-1.076030366
Figure 4 c,0.022147431,0.9387099294607945,0.022147431,0.9230299975253684,0.030028971463048955,-0.264595519,0.030028971463048955,-1.124935471,,,Figure 4 f,0.022147431,0.9387099294607945,0.022147431,0.9230299975253684,0.030028971463048955,-0.264595519,0.030028971463048955,-1.124935471
Figure 4 c,0.023144150694427084,0.9257548324635357,0.023144150694427084,0.907553915,0.031465806,-0.277062482,0.031465806,-1.171583826,,,Figure 4 f,0.023144150694427084,0.9257548324635357,0.023144150694427084,0.907553915,0.031465806,-0.277062482,0.031465806,-1.171583826
Figure 4 c,0.024185726404175368,0.9117042895825704,0.024185726404175368,0.8909354875755751,0.03297139,-0.2906803,0.03297139,-1.215416455,,,Figure 4 f,0.024185726404175368,0.9117042895825704,0.024185726404175368,0.8909354875755751,0.03297139,-0.2906803,0.03297139,-1.215416455
Figure 4 c,0.025274177022986455,0.8966018187065958,0.025274177022986455,0.873262586,0.034549013,-0.305499033,0.034549013,-1.25594213,,,Figure 4 f,0.025274177022986455,0.8966018187065958,0.025274177022986455,0.873262586,0.034549013,-0.305499033,0.034549013,-1.25594213
Figure 4 c,0.026411612,0.8804909823073019,0.026411612,0.8546239561009207,0.036202124,-0.321585062,0.036202124,-1.292767836,,,Figure 4 f,0.026411612,0.8804909823073019,0.026411612,0.8546239561009207,0.036202124,-0.321585062,0.036202124,-1.292767836
Figure 4 c,0.027600236,0.8634160955084322,0.027600236,0.8351112918688142,0.037934332,-0.338998274,0.037934332,-1.325624487,,,Figure 4 f,0.027600236,0.8634160955084322,0.027600236,0.8351112918688142,0.037934332,-0.338998274,0.037934332,-1.325624487
Figure 4 c,0.028842353,0.845427068,0.028842353,0.814819465,0.039749424,-0.357793041,0.039749424,-1.354316942,,,Figure 4 f,0.028842353,0.845427068,0.028842353,0.814819465,0.039749424,-0.357793041,0.039749424,-1.354316942
Figure 4 c,0.03014037,0.8265717860876155,0.03014037,0.7938445434913766,0.041651364826586074,-0.378018144,0.041651364826586074,-1.378731927,,,Figure 4 f,0.03014037,0.8265717860876155,0.03014037,0.7938445434913766,0.041651364826586074,-0.378018144,0.041651364826586074,-1.378731927
Figure 4 c,0.031496802,0.8069000073793418,0.031496802,0.7722790991750204,0.04364431,-0.399718892,0.04364431,-1.398775881,,,Figure 4 f,0.031496802,0.8069000073793418,0.031496802,0.7722790991750204,0.04364431,-0.399718892,0.04364431,-1.398775881
Figure 4 c,0.032914279,0.7864645463538379,0.032914279,0.7502179471635184,0.045732615,-0.422920863,0.045732615,-1.414569697,,,Figure 4 f,0.032914279,0.7864645463538379,0.032914279,0.7502179471635184,0.045732615,-0.422920863,0.045732615,-1.414569697
Figure 4 c,0.034395548080200525,0.7653211375339929,0.034395548080200525,0.7277543854629289,0.047920841,-0.447621721,0.047920841,-1.426207747,,,Figure 4 f,0.034395548080200525,0.7653211375339929,0.034395548080200525,0.7277543854629289,0.047920841,-0.447621721,0.047920841,-1.426207747
