Figure,Time (s),RBM10,mCherry,ccpCF V-R,ccpCF R-V,,Figure,Time (s),RBM10,mCherry,ccpCF V-R,ccpCF R-V
Figure 5d,0.050126339,0.503747549,0.008460071,-0.181508884,-0.776399359,,Figure 5e,0.050126339,0.503746731,0.138695399,-4.111649497,-2.852542043
Figure 5d,0.051911348,0.51974392,0.008678607,-0.174797255,-0.826240484,,Figure 5e,0.051911348,0.519742466,0.140615707,-4.118075462,-2.950034312
Figure 5d,0.053759922,0.535617307,0.009473558,-0.167037957,-0.87932514,,Figure 5e,0.053759922,0.535615239,0.14330228,-4.115301738,-3.048517944
Figure 5d,0.055674323,0.551317142,0.010844577,-0.158317542,-0.935211165,,Figure 5e,0.055674323,0.551314481,0.146705071,-4.103608822,-3.147180525
Figure 5d,0.057656897,0.56678946,0.012760417,-0.148708311,-0.993444266,,Figure 5e,0.057656897,0.56678623,0.150735031,-4.083183194,-3.245191301
Figure 5d,0.05971007,0.581997511,0.015181919,-0.138250036,-1.053596318,,Figure 5e,0.05971007,0.581993733,0.155300087,-4.054092421,-3.341792744
Figure 5d,0.061836358,0.596893441,0.018078108,-0.127081076,-1.115135093,,Figure 5e,0.061836358,0.596889141,0.160326883,-4.016772465,-3.43606631
Figure 5d,0.064038363,0.611435571,0.021394119,-0.115349999,-1.177614667,,Figure 5e,0.064038363,0.611430776,0.16571882,-3.971829874,-3.527303736
Figure 5d,0.066318781,0.625580731,0.025051434,-0.103184332,-1.240515769,,Figure 5e,0.066318781,0.625575472,0.171367056,-3.919697887,-3.614643997
Figure 5d,0.068680406,0.639295768,0.028972664,-0.090729578,-1.303491338,,Figure 5e,0.068680406,0.639290075,0.177156114,-3.860802311,-3.697451998
Figure 5d,0.071126129,0.65251245,0.03306169,-0.07822452,-1.366052821,,Figure 5e,0.071126129,0.652506359,0.182962227,-3.796159578,-3.775028192
Figure 5d,0.073658945,0.665186438,0.037217381,-0.065816191,-1.427719249,,Figure 5e,0.073658945,0.66517999,0.188656228,-3.726250724,-3.846576408
Figure 5d,0.076281955,0.677244333,0.041343536,-0.053747233,-1.488135131,,Figure 5e,0.076281955,0.67723757,0.194112539,-3.652051667,-3.911543683
Figure 5d,0.07899837,0.688622935,0.045334089,-0.042133393,-1.546825245,,Figure 5e,0.07899837,0.688615904,0.199212277,-3.574025386,-3.96924476
Figure 5d,0.081811518,0.699251468,0.049068279,-0.031225116,-1.60354752,,Figure 5e,0.081811518,0.699244219,0.203815227,-3.493285384,-4.019354996
Figure 5d,0.084724842,0.709042917,0.052435451,-0.021264633,-1.657962926,,Figure 5e,0.084724842,0.709035502,0.207787475,-3.410896483,-4.061469864
Figure 5d,0.087741911,0.717897701,0.055325834,-0.012373043,-1.709722471,,Figure 5e,0.087741911,0.717890178,0.210999693,-3.327462905,-4.095188465
Figure 5d,0.090866418,0.72572964,0.057644361,-0.004739998,-1.758646142,,Figure 5e,0.090866418,0.72572207,0.21336124,-3.244072025,-4.120432861
Figure 5d,0.094102189,0.732406537,0.059311951,0.001514214,-1.804549399,,Figure 5e,0.094102189,0.732398981,0.214763907,-3.161474466,-4.137141534
