Figure,Crosstalk into Red Channel,Real Red Channel,,Figure,Time (s),V,R,ccpCF V-R,ccpCF R-V,,Figure,Time (s),V,R,ccpCF V-R,ccpCF R-V,,Figure,Crosstalk into Red Channel,Real Red Channel,,Figure,Time (s),V,R,ccpCF V-R,ccpCF R-V,,Figure,Time (s),V,R,ccpCF V-R,ccpCF R-V
Figure S2a,155,144,,Figure S2b,0.004205184,0.503328231,0.519565632,0.670385532,0.516865041,,FigureS2c,0.004205184,0.503328231,0.519565632,-1.529631427,-0.702289678,,FigureS2d,155,144,,Figure S2e,0.00302263,0.3251369376082199,0.2931733024364043,0.4695379118580919,0.5047524050806197,,Figure S2f,0.00302263,0.3251369376082199,0.2931733024364043,-1.171133504,-0.989438167
Figure S2a,204,160,,Figure S2b,0.004395109,0.536124914,0.544836187,0.696106987,0.543849241,,FigureS2c,0.004395109,0.536124914,0.544836187,-1.498925973,-0.699640942,,FigureS2d,204,160,,Figure S2e,0.00314508,0.34493052385473666,0.3133609896577759,0.4926674589167454,0.526379595,,Figure S2f,0.00314508,0.34493052385473666,0.3133609896577759,-1.164882279,-1.001167444
Figure S2a,176,111,,Figure S2b,0.004593613,0.568667973,0.570124375,0.721093189,0.570399334,,FigureS2c,0.004593613,0.568667973,0.570124375,-1.466810183,-0.697370313,,FigureS2d,176,111,,Figure S2e,0.003272492,0.3656023931913447,0.33446626629461795,0.5161163326531736,0.5483130135085972,,Figure S2f,0.003272492,0.3656023931913447,0.33446626629461795,-1.159103363,-1.010326508
Figure S2a,151,160,,Figure S2b,0.004801081,0.600745793,0.595278532,0.745263816,0.59645501,,FigureS2c,0.004801081,0.600745793,0.595278532,-1.433787452,-0.695408616,,FigureS2d,151,160,,Figure S2e,0.003405065,0.3871258792836824,0.356458984,0.5398130178845356,0.5704712124627578,,Figure S2f,0.003405065,0.3871258792836824,0.356458984,-1.153605489,-1.017142359
Figure S2a,156,113,,Figure S2b,0.005017919,0.632148123,0.620146796,0.768542508,0.62196113,,FigureS2c,0.005017919,0.632148123,0.620146796,-1.400291744,-0.693674197,,FigureS2d,156,113,,Figure S2e,0.003543009,0.4094644341202765,0.3792991709844703,0.5636981161306958,0.5927960846374081,,Figure S2f,0.003543009,0.4094644341202765,0.3792991709844703,-1.148183566,-1.022118286
Figure S2a,130,134,,Figure S2b,0.005244551,0.662679571,0.64458594,0.790862983,0.646861172,,FigureS2c,0.005244551,0.662679571,0.64458594,-1.366677433,-0.692082526,,FigureS2d,130,134,,Figure S2e,0.003686541,0.43257930682482865,0.40294609765876677,0.5876903990141842,0.6152038481702246,,Figure S2f,0.003686541,0.43257930682482865,0.40294609765876677,-1.142670984,-1.025296449
Figure S2a,154,147,,Figure S2b,0.005481419,0.692144694,0.668452156,0.812166192,0.671115486,,FigureS2c,0.005481419,0.692144694,0.668452156,-1.333437514,-0.690596565,,FigureS2d,154,147,,Figure S2e,0.003835888,0.45642990256760774,0.42736174226850526,0.6117007927261978,0.6376087486969129,,Figure S2f,0.003835888,0.45642990256760774,0.42736174226850526,-1.136989637,-1.027352872
Figure S2a,160,151,,Figure S2b,0.005728985,0.720371547,0.691622289,0.832404601,0.694686751,,FigureS2c,0.005728985,0.720371547,0.691622289,-1.30086009,-0.689187615,,FigureS2d,160,151,,Figure S2e,0.003991285,0.48093605885513324,0.45246622406379117,0.6356617277944251,0.65994085,,Figure S2f,0.003991285,0.48093605885513324,0.45246622406379117,-1.131003315,-1.028465898
Figure S2a,136,149,,Figure S2b,0.005987732,0.747202944,0.713979626,0.851539764,0.717543335,,FigureS2c,0.005987732,0.747202944,0.713979626,-1.269309456,-0.687778225,,FigureS2d,136,149,,Figure S2e,0.004152977,0.5060185616067018,0.4781855002308064,0.659479468,0.6821121369157491,,Figure S2f,0.004152977,0.5060185616067018,0.4781855002308064,-1.124594525,-1.028912067
Figure S2a,148,138,,Figure S2b,0.006258165,0.772490055,0.73541211,0.869540054,0.73966138,,FigureS2c,0.006258165,0.772490055,0.73541211,-1.239159139,-0.686354785,,FigureS2d,148,138,,Figure S2e,0.00432122,0.5315904564875259,0.5044385394164147,0.6830654754220575,0.7040353528841901,,Figure S2f,0.00432122,0.5315904564875259,0.5044385394164147,-1.11770224,-1.02898357
Figure S2a,169,125,,Figure S2b,0.006540812,0.796127816,0.755840793,0.886386887,0.761019192,,FigureS2c,0.006540812,0.796127816,0.755840793,-1.210778148,-0.684863864,,FigureS2d,169,125,,Figure S2e,0.004496278,0.5575385135292983,0.5311148267135786,0.7063419735457989,0.7256395711594246,,Figure S2f,0.004496278,0.5575385135292983,0.5311148267135786,-1.110303707,-1.028986371
Figure S2a,162,143,,Figure S2b,0.006836225,0.818044277,0.775209283,0.902064644,0.78159704,,FigureS2c,0.006836225,0.818044277,0.775209283,-1.184382955,-0.68327071,,FigureS2d,162,143,,Figure S2e,0.004678428,0.5837566881891539,0.5581175203931212,0.729215117,0.7468373969644053,,Figure S2f,0.004678428,0.5837566881891539,0.5581175203931212,-1.102396,-1.029056677
Figure S2a,139,158,,Figure S2b,0.00714498,0.838195533,0.793481607,0.916568022,0.801386421,,FigureS2c,0.00714498,0.838195533,0.793481607,-1.160186466,-0.681573202,,FigureS2d,139,158,,Figure S2e,0.004867958,0.6101094618827213,0.5853176733666117,0.7515923703140599,0.7675428206362815,,Figure S2f,0.004867958,0.6101094618827213,0.5853176733666117,-1.093978125,-1.029404351
Figure S2a,120,173,,Figure S2b,0.007467679,0.856576224,0.810652215,0.929892696,0.820371291,,FigureS2c,0.007467679,0.856576224,0.810652215,-1.13835164,-0.679742648,,FigureS2d,120,173,,Figure S2e,0.005065165,0.6364591678404758,0.6125834063858773,0.7733965567674949,0.787687076,,Figure S2f,0.005065165,0.6364591678404758,0.6125834063858773,-1.085086743,-1.030132768
