Time (s),RBM10,NS5,ccpCF V-R,ccpCF R-V
0.009820799466079241,-0.07439214467535982,0.00020957070913460557,-0.00013052215144230167,4.851073317307489e-05
0.010154361206189358,-0.07377696238263126,0.00022400009615383568,-0.00011764402644230233,2.9133497596152678e-05
0.010499252312594923,-0.07107424539659207,0.00023507427884614286,-0.0001001778846153801,7.960937499999832e-06
0.010855857585245151,-0.06602189764933597,0.0002428692908653732,-7.880885817307345e-05,-1.460307692307606e-05
0.011224574893752387,-0.05834203953470363,0.000247328353365373,-5.431489182692074e-05,-3.807092548076728e-05
0.011605815621300936,-0.04775126449476502,0.0002482270192307578,-2.7470468749998953e-05,-6.187594951922776e-05
0.012000005123633164,-0.0340274341522141,0.0002452184254807579,1.0378605769227915e-06,-8.537692307691897e-05
0.012407583203625006,-0.016990288060385217,0.0002379137740384506,3.058549278845992e-05,-0.00010789031249999489
0.012829004601980325,0.0034782685432651617,0.0002258931610576819,6.0679447115381604e-05,-0.0001287243389423016
0.013264739504591644,0.027365407620374094,0.00020880634615383654,9.095100961538015e-05,-0.00014721670673076233
0.013715274067133272,0.0545509847608745,0.0001863668389422992,0.00012111334134614795,-0.00016273191105768475
0.014181110957472166,0.08479639344188905,0.0001584514663461466,0.0001510318990384543,-0.0001747844951922995
0.014662769916501662,0.11770367643815038,0.0001251231249999944,0.00018059403846152976,-0.0001829759014422992
0.015160788338023841,0.15276825310887676,8.660318509615006e-05,0.00020979671874998994,-0.0001870206129807606
0.01567572186832751,0.1893612239683493,4.329872596153665e-05,0.00023861981971152714,-0.00018682018028845284
0.016208145026130685,0.2267835047573361,-4.24919471153804e-06,0.00026708371394229503,-0.00018239799278845317
0.016758651843579407,0.26424025802950035,-5.532793269230481e-05,0.00029521580528844746,-0.0001739184134615304
0.01732785652901789,0.3009819097358275,-0.0001091563581730715,0.0003229874158653692,-0.00016167194711537715
0.01791639415226958,0.33621607282325017,-0.00016484024038460743,0.00035036280048075254,-0.00014605469951922402
0.018524921353193658,0.369228238495683,-0.00022147012019229698,0.0003772460937499821,-0.00012751314903845565
0.01915411707430753,0.39937188697781045,-0.0002780370793269098,0.0004035118269230576,-0.00010654776442307206
0.019804683318292732,0.4261016283535365,-0.0003335640264422917,0.0004289363822115181,-8.36865504807654e-05
0.020477345931229376,0.4489629376306369,-0.00038698816105767376,0.00045325887019228623,-5.940417067307423e-05
0.02117285541243302,0.4676801226068258,-0.00043729213942305626,0.00047619959134613115,-3.413435096153694e-05
0.02189198775179752,0.4820864438299902,-0.0004834685576922848,0.0004973753124999764,-8.280841346153532e-06
0.022635545295578055,0.4921763284295746,-0.0005245757091345908,0.0005164021153845909,1.7870024038460655e-05
0.023404357641580355,0.4980560241219555,-0.0005597584855768967,0.0005328733413461286,4.40458533653825e-05
0.024199282564754857,0.5,-0.0005882826682692031,0.0005464201682692046,7.007913461538127e-05
0.025021206974228494,0.4983850864740865,-0.0006095910096153559,0.0005566917307692046,9.578199519230316e-05
0.025871047902841938,0.4936964154929244,-0.0006233196033653551,0.0005634050240384347,0.00012101548076922501
0.026749753530296266,0.4865280467087868,-0.0006293685576922778,0.0005664113100961267,0.0001456314062499931
0.027658304241050646,0.4775268588983904,-0.0006278217067307396,0.0005656551081730504,0.00016945325721153044
0.028597713718151316,0.46735718415065286,-0.0006189863100961247,0.0005612594711538196,0.0001923085697115294
0.029569030074212296,0.4566766128421712,-0.0006033789182692023,0.0005534233894230506,0.00021395019230768214
0.030573337020809634,0.4461241382421882,-0.0005816202644230497,0.0005425340985576665,0.00023417961538460433
0.03161175507759397,0.4362108739820597,-0.0005544785096153587,0.0005290570072115135,0.0002527952043269111
0.032685442822470295,0.42735239757665056,-0.0005227276682692063,0.0005135383533653601,0.00026962388221152565
0.03379559818424002,0.4198021222693311,-0.00048715007211536175,0.0004965566706730534,0.00028458604567306345
0.034943459779147236,0.413679203129103,-0.0004485385817307482,0.00047869146634613104,0.0002976255889422936
